tpsgenD89.VP;tpsgenD89.TC;id_menage;id_personne;id_chaine;Id_boucle;coep;D7_residence;nbactif;nbpers+18ans;taille_menage;nombre_VP;motorisation;habitat;occupation_logement;occupation;niveau_etudes;permis;abonnementTC;age;age0-17;age18-25;age26-35;age36-45;age46-59;age60+;sexe;D7_origine;D7_destination;Densite89;motif_ori;motif_dest;Premier_mode;tps_gen_VP_D89;tps_gen_TC_D89;lnage18
39,13866667;37,26766667;10315600;10315601;1031560112;103156011;40,13049;1;2;2;5;1;0,5;4;3;1;6;1;4;43;0;0;0;1;0;0;2;2;1;194,5456783;TRAVAIL;DOMI;TC;39,13866667;37,26766667;3,258096538
39,13866667;37,26766667;10315600;10315602;1031560212;103156021;47,5899;1;2;2;5;1;0,5;4;3;1;6;1;4;37;0;0;0;1;0;0;1;2;1;194,5456783;TRAVAIL;DOMI;TC;39,13866667;37,26766667;2,995732274
57,031;49,27566667;10315900;10315901;1031590112;103159011;69,61195;1;2;2;2;2;1;4;6;1;6;1;4;54;0;0;0;0;1;0;1;3;1;63,61945371;TRAVAIL;DOMI;VP;57,031;49,27566667;3,610917913
69,5525;72,20516667;10316000;10316005;1031600512;103160051;34,759;1;3;5;8;1;0,2;4;3;1;3;2;2;19;0;1;0;0;0;0;1;3;1;123,1504285;TRAVAIL;DOMI;TC;69,5525;72,20516667;0,693147181
31,04316333;30,67366667;10316200;10316201;1031620112;103162011;40,13049;1;2;2;4;2;1;4;1;1;6;1;3;53;0;0;0;0;1;0;1;2;1;490,2529794;TRAVAIL;DOMI;TC;31,04316333;30,67366667;3,583518938
40,08633333;47,02116667;10316200;10316202;1031620222;103162022;40,13049;1;2;2;4;2;1;4;1;1;6;1;4;48;0;0;0;0;1;0;2;2;1;48,32207828;TRAVAIL;DOMI;VP;40,08633333;47,02116667;3,433987204
46,69133333;40,26566667;10316300;10316301;1031630112;103163011;80,28983;1;1;1;1;0;0;4;3;1;6;2;3;31;0;0;1;0;0;0;1;2;1;145,7543533;TRAVAIL;DOMI;TC;46,69133333;40,26566667;2,63905733
138,349855;79,48516667;10316600;10316601;1031660112;103166011;80,28983;1;1;1;1;0;0;4;3;1;6;2;2;31;0;0;1;0;0;0;1;6;1;14,68665579;TRAVAIL;DOMI;TC;138,349855;79,48516667;2,63905733
32,1155;41,40816667;10400100;10400101;1040010112;104001011;55,81574;1;1;1;1;0;0;1;1;1;6;1;2;36;0;0;0;1;0;0;2;2;1;240,2703098;TRAVAIL;DOMI;TC;32,1155;41,40816667;2,944438979
64,127835;69,52033333;10400400;10400401;1040040112;104004011;55,81574;1;1;1;1;0;0;1;3;1;5;1;4;34;0;0;1;0;0;0;1;4;1;37,79854604;TRAVAIL;DOMI;VP;64,127835;69,52033333;2,833213344
53,22966667;49,20933333;10400600;10400601;1040060112;104006011;55,54071;1;1;1;1;0;0;1;1;1;6;1;1;42;0;0;0;1;0;0;2;2;1;194,6149935;TRAVAIL;DOMI;TC;53,22966667;49,20933333;3,218875825
64,127835;69,52033333;10400700;10400701;1040070112;104007011;55,81574;1;1;1;1;1;1;1;1;1;5;1;2;39;0;0;0;1;0;0;1;4;1;37,79854604;TRAVAIL;DOMI;TC;64,127835;69,52033333;3,091042453
60,74133333;63,45116667;10401200;10401201;1040120112;104012011;55,81574;1;1;1;1;1;1;4;3;1;6;1;4;35;0;0;1;0;0;0;1;3;1;96,06397753;TRAVAIL;DOMI;VP;60,74133333;63,45116667;2,890371758
39,42;43,29883333;10401600;10401601;1040160112;104016011;44,64232;1;1;1;2;0;0;4;1;1;6;1;2;44;0;0;0;1;0;0;2;2;1;94,33891877;TRAVAIL;DOMI;TC;39,42;43,29883333;3,295836866
22,7145;35,58666667;10401700;10401701;1040170112;104017011;55,81574;1;1;1;1;0;0;1;3;1;6;2;1;30;0;0;1;0;0;0;1;1;1;426,6345988;TRAVAIL;DOMI;TC;22,7145;35,58666667;2,564949357
24,33116667;47,15683333;10403200;10403201;1040320112;104032011;54,12784;1;2;2;3;1;0,5;1;1;1;6;1;1;38;0;0;0;1;0;0;1;2;1;141,8011896;TRAVAIL;DOMI;TC;24,33116667;47,15683333;3,044522438
44,06383333;55,37833333;10403200;10403202;1040320212;104032021;54,12784;1;2;2;3;1;0,5;1;1;1;6;1;1;38;0;0;0;1;0;0;2;2;1;56,63406921;TRAVAIL;DOMI;TC;44,06383333;55,37833333;3,044522438
70,8675;59,25116667;10404100;10404102;1040410212;104041021;70,90294;1;2;2;2;1;0,5;4;4;1;6;1;3;23;0;1;0;0;0;0;2;4;1;38,77151158;TRAVAIL;DOMI;TC;70,8675;59,25116667;1,791759469
59,297965;69,27966667;10404300;10404301;1040430112;104043011;39,64914;1;2;2;2;2;1;1;1;1;6;1;4;58;0;0;0;0;1;0;2;3;1;195,176277;TRAVAIL;DOMI;VP;59,297965;69,27966667;3,713572067
118,3441433;82,48983333;10404700;10404702;1040470212;104047021;44,64232;1;1;2;2;2;1;4;1;1;5;1;4;48;0;0;0;0;1;0;2;5;1;24,89714932;TRAVAIL;DOMI;VP;118,3441433;82,48983333;3,433987204
24,5385;33,14616667;10404900;10404902;1040490212;104049021;44,86339;1;2;2;2;1;0,5;4;3;2;6;1;2;26;0;0;1;0;0;0;1;2;1;328,0848725;TRAVAIL;DOMI;TC;24,5385;33,14616667;2,197224577
44,06383333;55,37833333;10405300;10405301;1040530112;104053011;50,535;1;2;2;4;2;1;4;3;1;3;1;4;41;0;0;0;1;0;0;1;2;1;56,63406921;TRAVAIL;DOMI;VP;44,06383333;55,37833333;3,17805383
64,127835;69,52033333;10405300;10405302;1040530222;104053022;50,535;1;2;2;4;2;1;4;3;1;6;1;4;40;0;0;0;1;0;0;2;4;1;37,79854604;TRAVAIL;DOMI;VP;64,127835;69,52033333;3,135494216
